target_symbol,uniprot_accession_number,clonality,clone_id,method,tissue_preservation,avr_pdf_filename,antibody_hubmap_id,host,rrid,catalog_number,lot_number,vendor_name,recombinant,organ,author_orcids,hgnc_id,isotype,concentration_value,dilution_factor,conjugate,cycle_number,fluorescent_reporter,manuscript_doi,protocol_doi,vendor_affiliation,organ_uberon_id,antigen_retrieval,omap_id,created_by_user_email,previous_version_id,next_version_id
IL2RA,P01589,monoclonal,M-A251,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff5bd299507cf0540cc2d594fad05c/CD25_OMAP1.pdf,HBM863.XCTJ.585,Mouse,AB_2563588,356128,B269090,BioLegend,No,lymph node,0000-0003-4379-8967,HGNC:6008,IgG1 kappa,4,,AF647,4,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
ITGAX,P20702,monoclonal,REAL235,MICS,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff562cdc7f6d524359fdc2bd354e07/ITGAX_AVR_OMAP10.pdf,HBM956.FSMW.389,Human,AB_2857543,130-121-314,,Miltenyi Biotec,Yes,palatine tonsil,0000-0002-1297-9725,HGNC:6152,IgG1,,50,PE,1,,,10.1038/s41598-022-05841-4,Miltenyi Biotec,UBERON:0002373,,OMAP-10,ellenmq@iu.edu,,
COL4A1,P02462,monoclonal,REAL1212,MICS,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffd930c57589bd26b8a032a2c912e3/COL4A1_AVR_OMAP10.pdf,HBM392.VKPC.498,Human,AB_2928609,130-129-278,,Miltenyi Biotec,Yes,palatine tonsil,0000-0002-1297-9725,HGNC:2202,IgG1,,50,PE,10,,,10.1038/s41598-022-05841-4,Miltenyi Biotec,UBERON:0002373,,OMAP-10,ellenmq@iu.edu,,
CR2,P20023,monoclonal,Bu32,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffd0d9d8342deccaaf5e955bbcfbe2/CD21_OMAP1.pdf,HBM952.VWGC.744,Mouse,AB_2892739,354902,B268709,BioLegend,No,lymph node,0000-0003-4379-8967,HGNC:2336,IgG1 kappa,1,,AF532,2,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
CD69,Q07108,monoclonal,FN50,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffb1bdf46a8c345a0829bb1a192d3e/CD69_OMAP1.pdf,HBM766.SBJM.273,Mouse,AB_528871,310918,B246313,BioLegend,No,lymph node,0000-0003-4379-8967,HGNC:1694,IgG1 kappa,4,,AF647,5,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
NCAM1,P13591,monoclonal,CAL53,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff2aed65671d82ad4ffb2a20745028/NCAM1-CODEX_OMAP-29.pdf,HBM393.ZGSB.984,Rabbit,AB_2936082,4250087,B356689,Akoya Biosciences,Yes,mouth mucosa,0000-0002-5565-0524,HGNC:7656,IgG,,200,Oligonucleotide,17,Atto550,,10.1101/2024.12.01.626279,,UBERON:0003729,,OMAP-29,LIZMC@pitt.edu,,
CD68,P34810,monoclonal,KP1,CODEX,FFPE,https://assets.hubmapconsortium.org/ffffc572411dbb970c17546042e6b641/CD68-CODEX_OMAP-29.pdf,HBM655.CLTV.489,Mouse,AB_2935894,4550113,B362149,Akoya Biosciences,Yes,mouth mucosa,0000-0002-5565-0524,HGNC:1693,IgG1,,200,Oligonucleotide,8,AF647,,10.1101/2024.12.01.626279,,UBERON:0003729,,OMAP-29,LIZMC@pitt.edu,,
ICOS,Q9Y6W8,monoclonal,D1K2T,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff3d991d647320253f9494783fb9c1/ICOS-CODEX_OMAP-29.pdf,HBM975.PKKN.624,Rabbit,AB_3096408,4550117,B340129,Akoya Biosciences,Yes,mouth mucosa,0000-0002-5565-0524,HGNC:5351,IgG,,200,Oligonucleotide,11,AF647,,10.1101/2024.12.01.626279,,UBERON:0003729,,OMAP-29,LIZMC@pitt.edu,,
IFNG,P01579,monoclonal,EPR21704,CODEX,FFPE,https://assets.hubmapconsortium.org/ffffd8c524aa3dd8791906cbbf840fb5/IFNG-CODEX_OMAP-29.pdf,HBM649.RPJZ.873,Rabbit,AB_3476455,4250062,B369225,Akoya Biosciences,No,mouth mucosa,0000-0002-5565-0524,HGNC:5438,IgG,,200,Oligonucleotide,15,Atto550,,10.1101/2024.12.01.626279,,UBERON:0003729,,OMAP-29,LIZMC@pitt.edu,,
H3-4,Q16695,monoclonal,HTA28,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff63068e18975763c89fa3c5d5e289/H3-4-CODEX_OMAP-29.pdf,HBM934.NPSP.963,Rat,AB_3676530,4550115,B366112,Akoya Biosciences,No,mouth mucosa,0000-0002-5565-0524,HGNC:4778,IgG2a,,200,Oligonucleotide,3,AF647,,10.1101/2024.12.01.626279,,UBERON:0003729,,OMAP-29,LIZMC@pitt.edu,,
ACTA2,P62736,monoclonal,1A4,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff4b9579bcf47c5e8d490023621e50/ACTA2-CODEX_OMAP-29.pdf,HBM425.QDHR.844,Mouse,AB_2936084,4450049,B371548,Akoya Biosciences,No,mouth mucosa,0000-0002-5565-0524,HGNC:130,IgG2a,,200,Oligonucleotide,12,AF750,,10.1101/2024.12.01.626279,,UBERON:0003729,,OMAP-29,LIZMC@pitt.edu,,
CR2,P20023,monoclonal,REA940,MICS,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff7bc119818676174c8381b4e6559e/CR2_AVR_OMAP10.pdf,HBM237.DNTT.772,Human,AB_2727121,130-115-609,,Miltenyi Biotec,Yes,palatine tonsil,0000-0002-1297-9725,HGNC:2336,IgG1,,50,FITC,7,,,10.1038/s41598-022-05841-4,Miltenyi Biotec,UBERON:0002373,,OMAP-10,ellenmq@iu.edu,,
CD68,P34810,monoclonal,REA1306,MICS,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffa96494b10f985dee63c5ec92a3ac/CD68_AVR_OMAP10.pdf,HBM583.XDXP.437,Human,AB_2905104,130-128-345,,Miltenyi Biotec,Yes,palatine tonsil,0000-0002-1297-9725,HGNC:1693,IgG1,,50,PE,7,,,10.1038/s41598-022-05841-4,Miltenyi Biotec,UBERON:0002373,,OMAP-10,ellenmq@iu.edu,,
INS,P01308,monoclonal,C-PEP-01,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff3f97d529b55a05e8b1c51afcca73/insulin-CODEX-OMAP6.pdf,HBM597.MLJR.538,Mouse,AB_1073884,MA1-19159,NA,Thermo Fisher Scientific,No,pancreas,0000-0003-2722-1965,HGNC:6081,IgG1,,50,Oligonucleotide,3,Atto550,,"10.17504/protocols.io.6qpvr4w6ogmk/v1,10.17504/protocols.io.36wgqj3y3vk5/v1",,UBERON:0001264,6,OMAP-6,ellenmq@iu.edu,,
PECAM1,P16284,monoclonal,EP3095,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff02562ad294b51d62889bfb2067a7/pecam1-CODEX-OMAP6.pdf,HBM734.MWFH.354,Rabbit,AB_2890012,ab134168,NA,Abcam,Yes,pancreas,0000-0003-2722-1965,HGNC:8823,IgG,,50,Oligonucleotide,5,AF488,,"10.17504/protocols.io.6qpvr4w6ogmk/v1,10.17504/protocols.io.36wgqj3y3vk5/v1",,UBERON:0001264,6,OMAP-6,ellenmq@iu.edu,,
PTPRC,P08575,monoclonal,F10-89-4,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff822a95e5266bd93ffa6cdb090dbb/CD45_OMAP1.pdf,HBM233.HLQD.543,Mouse,AB_2892742,1016185,16A5T1,Caprico Biotechnologies,No,lymph node,0000-0003-4379-8967,HGNC:9666,IgG2a,1,,PE-iF594,9,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
CD68,P34810,monoclonal,KP1,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff44aab0410da3d5db27c300926aeb/CD68_OMAP1.pdf,HBM955.JRLZ.793,Mouse,AB_2891106,sc-20060,L0712,Santa Cruz Biotechnology,No,lymph node,0000-0003-4379-8967,HGNC:1693,IgG1 kappa,2,,AF647,6,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
DES,P17661,monoclonal,Y66,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffe58f8bb7ff1fb5aff90754ac385d/Desmin_OMAP1.pdf,HBM338.HWCR.925,Rabbit,AB_2892748,Ab185033,GR3269405-2,Abcam,No,lymph node,0000-0003-4379-8967,HGNC:2770,IgG,5,,AF488,8,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
ITGA1,P56199,monoclonal,TS2/7,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff6e4e18b20a552bbf6e798a8c60c9/CD49a_OMAP1.pdf,HBM945.KPWK.286,Mouse,AB_1236441,328303,B201914,BioLegend,No,lymph node,0000-0003-4379-8967,HGNC:6134,IgG1 kappa,2,,PE,8,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
LUM,P51884,polyclonal,,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff96cec4b6f0be723a16049440136e/Lumican_OMAP1.pdf,HBM932.XMFM.242,Goat,AB_2892757,AF2846,,R&D Systems,No,lymph node,0000-0003-4379-8967,HGNC:6724,IgG,10,,AF532,7,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
SST,P61278,monoclonal,7G5,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff6c16f0da6369dfacac05351f09c5/somatostatin-CODEX-OMAP6.pdf,HBM369.ZCJK.797,Mouse,AB_2890053,NBP2-37447,NA,Novus Biologicals,No,pancreas,0000-0003-2722-1965,HGNC:11329,IgG1,,150,Oligonucleotide,5,Atto550,,"10.17504/protocols.io.6qpvr4w6ogmk/v1,10.17504/protocols.io.36wgqj3y3vk5/v1",,UBERON:0001264,6,OMAP-6,ellenmq@iu.edu,,
CDH1,P12830,monoclonal,4A2C7,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff76235d7e1770eb324840ca016df2/eCadherin-CODEX-OMAP6.pdf,HBM247.VKQH.888,Mouse,AB_2533118,33-4000,NA,Thermo Fisher Scientific,No,pancreas,0000-0003-2722-1965,HGNC:1748,IgG1 Kappa,,100,Oligonucleotide,6,Atto550,,"10.17504/protocols.io.6qpvr4w6ogmk/v1,10.17504/protocols.io.36wgqj3y3vk5/v1",,UBERON:0001264,6,OMAP-6,ellenmq@iu.edu,,
CHGA,P10645,monoclonal,LK2H10 + PHE5 + CGA/414,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff01891b4b7842fb4c9a777b4eca0a/CHGA_OMAP13.pdf,HBM953.HHCQ.643,Mouse,AB_2864388,NBP2-34674,1113-5PABX180117,Novus Biologicals,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:1929,IgG1 kappa,,300,Oligonucleotide,9,AF647,10.1101/2021.12.16.466282,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
GHRL,Q9UBU3,monoclonal,883622,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff3408c6bfb69c0b9acb571b3804d3/GHRL_OMAP13.pdf,HBM494.GSDV.855,Rat,AB_2637039,MAB8200,CILU021909B,R&D Systems,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:18129,IgG2a,,500,Oligonucleotide,4,AF488,10.1101/2021.12.16.466282,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
LAMA2,P24043,monoclonal,EPR21890,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff9fc80c6531762c2fe15f12f6e11f/LAMA2_OMAP13.pdf,HBM835.XPXF.354,Rabbit,AB_2924253,ab238458,GR3239015-3,Abcam,Yes,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:6482,IgG,,200,Oligonucleotide,2,Atto550,,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
SST,P61278,monoclonal,7G5,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffe7bbd721f8a9e51c5eabb1c055d1/SST_OMAP13.pdf,HBM868.TXQX.849,Mouse,AB_2890053,NBP2-37447,160825,Novus Biologicals,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:11329,IgG1,,600,Oligonucleotide,3,Atto550,10.1101/2021.12.16.466282,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
VIM,P08670,monoclonal,RV202,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff7247f84a7edd7d24a0d7db23223e/VIM_OMAP13.pdf,HBM753.PPFL.995,Mouse,AB_393716,550513,1274497,BD Biosciences,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:12692,IgG1,,200,Oligonucleotide,6,AF647,,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
OPN1LW,P04000,polyclonal,,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff68a1b80f7ba3a66d30c31d92def4/OPN1LW_OMAP12.pdf,HBM725.BVPJ.687,Rabbit,AB_177456,AB5405,3823289,Merck,No,retina,0000-0003-2088-8310,HGNC:9936,IgG,,50,Unconjugated,2,,,"10.1073/pnas.2018488117,10.1038/s41596-021-00644-9",,UBERON:0000966,,OMAP-12,ellenmq@iu.edu,,
CALB1,P12658,polyclonal,,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff4ecb24b39d92ec7f7f9112949e48/CALB1_OMAP12.pdf,HBM975.THPH.255,Rabbit,AB_2935805,ABN2192,3560008,Merck,No,retina,0000-0003-2088-8310,HGNC:1434,IgG,,100,Unconjugated,2,,,"10.1073/pnas.2018488117,10.1038/s41596-021-00644-9",,UBERON:0000966,,OMAP-12,ellenmq@iu.edu,,
TUBB3,Q13509,monoclonal,TUJ1,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff30b261361f9f9d29c07ad139ce14/TUBB3_OMAP12.pdf,HBM929.WGJW.898,Mouse,AB_2564757,801203,B337034,BioLegend,No,retina,0000-0003-2088-8310,HGNC:20772,IgG2a Kappa,,100,AF488,3,,,"10.1073/pnas.2018488117,10.1038/s41596-021-00644-9",,UBERON:0000966,,OMAP-12,ellenmq@iu.edu,,
ARR3,P36575,monoclonal,7G6,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffeebfb321184cf54f13d619f3233e/ARR3_OMAP12.pdf,HBM332.SVRB.348,Mouse,AB_2935804,MABN2636-100UG,3836431,Merck,No,retina,0000-0003-2088-8310,HGNC:710,IgG1 Kappa,,100,Unconjugated,4,,,"10.1073/pnas.2018488117,10.1038/s41596-021-00644-9",,UBERON:0000966,,OMAP-12,ellenmq@iu.edu,,
ACTA2,P62736,monoclonal,1A4,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff05c9fbe25719c368bf5a41aa3f12/ACTA2_OMAP12.pdf,HBM645.ZVTD.879,Mouse,AB_2574461,53-9760-82,2387507,Thermo Fisher Scientific,No,retina,0000-0003-2088-8310,HGNC:130,IgG2a Kappa,,100,AF488,5,,,"10.1073/pnas.2018488117,10.1038/s41596-021-00644-9",,UBERON:0000966,,OMAP-12,ellenmq@iu.edu,,
MKI67,P46013,monoclonal,SP6,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff0d495838b0e8b623fa47311aac1a/Ki67-CellDIVEOMAP4.pdf,HBM993.WDVJ.477,Rabbit,AB_2924695,ab197547,1510X1102D,Abcam,Yes,skin,0000-0001-7524-8260,HGNC:7107,IgG,5,,Cy5,9,,10.1101/2022.03.30.486438,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-4,ellenmq@iu.edu,,
LYVE1,Q9Y5Y7,polyclonal,,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff16c2bd7278c5c1e0ad976face17c/LYVE1-CellDIVEOMAP4.pdf,HBM927.ZXHV.262,Goat,AB_355144,AF2089-SP,KPY0120121,R&D Systems,No,skin,0000-0001-7524-8260,HGNC:14687,IgG,7.5,,Cy5,11,,10.1101/2022.03.30.486438,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-4,ellenmq@iu.edu,,
CR2,P20023,monoclonal,Bu32,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff0775b448a90e39546077ad0b8c4e/CD21_OMAP11.pdf,HBM365.ZDPW.744,Mouse,AB_2892739,354902 (Unconjugated),B268709,BioLegend,No,spleen,0000-0003-4379-8967,HGNC:2336,IgG1 kappa,,600,AF532,1,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
CD68,P34810,monoclonal,KP1,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff013381a2b09bd011ab1931b21c6f/CD68_OMAP11.pdf,HBM479.RTLX.624,Mouse,AB_2892745,1064136,64A3F1,Caprico Biotechnologies,No,spleen,0000-0003-4379-8967,HGNC:1693,IgG1 kappa,,50,iF594,1,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
FUT4,P22083,monoclonal,MMA,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff452dbb7b053c301b24bbe5b62f36/CD15_OMAP11.pdf,HBM462.GNBL.772,Mouse,AB_400298,347420,311326,BD Biosciences,No,spleen,0000-0003-4379-8967,HGNC:4015,IgM,,50,Unconjugated,2,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
PECAM1,P16284,monoclonal,WM59,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff4b1725b2f31ae8ab675ad64068e9/CD31_OMAP11.pdf,HBM338.XCZZ.233,Mouse,AB_314332,303106,B267974,BioLegend,No,spleen,0000-0003-4379-8967,HGNC:8823,IgG1 kappa,,100,PE,3,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
CD8A,P01732,monoclonal,SK1,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff35d350141ec792e0295b57a32357/CD8_OMAP11.pdf,HBM665.SCFW.937,Mouse,AB_10549301,344716,B279545,BioLegend,No,spleen,0000-0003-4379-8967,HGNC:1706,IgG1 kappa,,25,AF488,3,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
CD8A,P01732,monoclonal,SK1,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffffeeece23fa6430700120d9fd942d8/CD8A_OMAP9.pdf,HBM953.BQXX.636,Mouse,AB_2895049,4150004,B360962,Akoya Biosciences,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:1706,IgG1 kappa,,200,Oligonucleotide,2,AF488,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
CD4,P01730,monoclonal,SK3,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff6b49dfd09153c2dc230f20e8b380/CD4_OMAP9.pdf,HBM828.RVJL.475,Mouse,AB_2895048,4350010,B355751,Akoya Biosciences,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:1678,IgG1 kappa,,200,Oligonucleotide,3,AF647,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
MKI67,P46013,monoclonal,B56,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff78189f13cdb8a3a2241bec3aedef/MKI67_OMAP9.pdf,HBM688.FGJK.563,Mouse,AB_2895046,4250019,0222L420,Akoya Biosciences,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:7107,IgG1 kappa,,200,Oligonucleotide,4,Atto550,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
SLC12A3,P55017,polyclonal,,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff60a4b440a87e743d7807552b34c1/SLC12A3_OMAP9.pdf,HBM495.PHWC.446,Rabbit,AB_571116,AB3553,3728204,MilliporeSigma,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:10912,IgG2,,200,Oligonucleotide,6,Atto550,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
HAVCR1,Q96D42,monoclonal,219211,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff8b1d2b5ebca709ca6410fa12c8cf/HAVCR1_OMAP9.pdf,HBM645.MVQV.395,Mouse,AB_2116559,MAB1750,JNT0222041,R&D Systems,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:17866,IgG2b,,200,Oligonucleotide,8,AF647,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
JUN,P05412,monoclonal,D47G9,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff93cfc5c65cab6028f91ff2156fac/JUN_OMAP9.pdf,HBM435.ZGQL.497,Rabbit,AB_2895041,3270BF,7,Cell Signaling Technology,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:6204,IgG,,100,Oligonucleotide,9,Atto550,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
CDH1,P12830,monoclonal,4A2C7,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff980f8e62e065f32276271e687521/CDH1_OMAP9.pdf,HBM433.SFXG.458,Mouse,AB_2895057,4250021,B372381,Akoya Biosciences,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:1748,IgG1 kappa,,200,Oligonucleotide,12,Atto550,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
IGFBP7,Q16270,polyclonal,,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/fffff39500c6ee408f418cce651aa209/IGFBP7_OMAP9.pdf,HBM537.WFBG.366,Rabbit,AB_1617562,AP01109PU-S,0409M324RB,OriGene Technologies,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:5476,IgG,,200,Oligonucleotide,12,AF647,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
CTNNB1,P35222,monoclonal,12F7,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffffc69e9f524cf9a2a6806956c43881/CTNNB1_OMAP9.pdf,HBM756.NWMN.766,Mouse,AB_2895058,4450036,B362148,Akoya Biosciences,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:2514,IgG1,,200,Oligonucleotide,13,Atto550,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
COL4A1,P02462,monoclonal,EPR209660,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff9bcf79494b14ea1fc0531f94e896/COL4A1_OMAP9.pdf,HBM278.DFNX.426,Rabbit,AB_2927676,4550122,B3354778,Akoya Biosciences,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:2202,IgG,,200,Oligonucleotide,13,AF647,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
KRT8,P05787,monoclonal,TS1,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff88669afc3a79b166190267dceb17/KRT8_OMAP9.pdf,HBM652.ZCHS.842,Mouse,AB_2895039,NBP2-34501,3856-4P180609,Novus Biologicals,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:6446,IgG1 kappa,,400,Oligonucleotide,15,AF647,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
KRT1,P04264,monoclonal,EPR17744,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff1ec2ad6e7d2fd249e1ebda09deab/KRT1_CellDIVE_OMAP-22.pdf,HBM986.KGQJ.728,Rabbit,AB_3106879,ab250844,1001202-1,Abcam,Yes,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:6412,IgG,5,,AF488,3,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
PDPN,Q86YL7,monoclonal,D2-40,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffa1f038fa892bc02b8a627b2f182e/PDPN-CellDIVE_OMAP-22.pdf,HBM349.ZPHH.724,Mouse,AB_2810816,916610,B384225,BioLegend,No,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:29602,IgG1,10,,AF647,9,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
KRT10,P13645,monoclonal,EP1607IHCY,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff04b8c3797be55eb70d2b33ef8c43/KRT10-CellDIVE_OMAP-22.pdf,HBM428.DFSH.355,Rabbit,AB_2891033,ab194231,1032703?2,Abcam,Yes,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:6413,IgG,5,,AF647,10,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
