cnt,period_start_month,class_display,age_at_visit,gender,race_display,ethnicity_display
343,3/1/2014,,,female,white,not hispanic or latino
342,,,72,female,white,
342,,ambulatory,89,,,not hispanic or latino
342,,ambulatory,89,,white,not hispanic or latino
342,2/1/2020,,,,white,not hispanic or latino
342,12/1/2016,,,,white,not hispanic or latino
342,8/1/2016,ambulatory,,,white,
342,6/1/2014,ambulatory,,,white,
342,11/1/2013,,,,,
341,,,73,female,white,not hispanic or latino
341,,,72,female,,not hispanic or latino
341,,,5,male,white,
341,,,21,female,white,
341,5/1/2021,,,female,,not hispanic or latino
341,2/1/2020,ambulatory,,,white,
341,8/1/2013,,,,,
340,,,82,male,,
340,,,82,male,white,
340,11/1/2022,ambulatory,,,white,not hispanic or latino
340,2/1/2018,ambulatory,,,,
340,4/1/2016,,,,white,not hispanic or latino
340,5/1/2015,,,,white,not hispanic or latino
339,,,4,female,white,
339,,,35,male,,not hispanic or latino
339,,,27,female,,not hispanic or latino
339,,,16,male,white,not hispanic or latino
339,,ambulatory,14,male,white,
339,,ambulatory,13,male,,not hispanic or latino
339,6/1/2019,ambulatory,,,white,not hispanic or latino
339,8/1/2018,,,,,not hispanic or latino
339,4/1/2018,,,,white,
339,1/1/2017,,,,white,not hispanic or latino
339,5/1/2014,,,,white,not hispanic or latino
339,6/1/2013,ambulatory,,,,
338,,,72,female,white,not hispanic or latino
338,,,6,female,,
338,,,13,female,white,
338,,,12,female,,
338,,ambulatory,5,male,,not hispanic or latino
338,,ambulatory,36,male,,not hispanic or latino
338,,ambulatory,15,male,white,
338,12/1/2022,ambulatory,,,white,not hispanic or latino
338,11/1/2019,ambulatory,,,white,not hispanic or latino
338,4/1/2018,,,,,not hispanic or latino
338,2/1/2018,,,,white,
338,12/1/2017,,,,,not hispanic or latino
338,2/1/2017,,,,,
338,1/1/2017,ambulatory,,,white,
338,2/1/2015,,,,white,not hispanic or latino
338,1/1/2014,ambulatory,,,white,
337,,,36,male,white,not hispanic or latino
337,,ambulatory,72,female,,
337,2/1/2023,ambulatory,,,white,
337,9/1/2022,ambulatory,,,white,not hispanic or latino
337,1/1/2019,ambulatory,,,white,not hispanic or latino
337,10/1/2018,ambulatory,,,white,
337,10/1/2016,,,,white,not hispanic or latino
337,10/1/2016,ambulatory,,,,not hispanic or latino
337,4/1/2015,ambulatory,,,,not hispanic or latino
337,8/1/2014,ambulatory,,,white,not hispanic or latino
336,,,8,male,,
336,,ambulatory,24,female,white,not hispanic or latino
336,,ambulatory,16,male,white,
336,3/1/2021,,,female,white,
336,5/1/2020,ambulatory,,,white,not hispanic or latino
336,1/1/2017,ambulatory,,,,not hispanic or latino
336,1/1/2014,ambulatory,,,,not hispanic or latino
336,12/1/2013,ambulatory,,,,not hispanic or latino
336,10/1/2013,,,,,
335,,,14,male,white,not hispanic or latino
335,,,10,male,,
335,4/1/2020,ambulatory,,,white,not hispanic or latino
335,7/1/2016,ambulatory,,,white,not hispanic or latino
335,4/1/2016,ambulatory,,,,not hispanic or latino
335,10/1/2015,ambulatory,,,white,not hispanic or latino
335,9/1/2015,ambulatory,,,white,not hispanic or latino
335,7/1/2014,,,,white,
334,,ambulatory,72,female,white,
334,4/1/2021,ambulatory,,female,white,not hispanic or latino
334,1/1/2020,ambulatory,,,white,not hispanic or latino
334,6/1/2018,ambulatory,,,white,not hispanic or latino
334,9/1/2016,ambulatory,,,white,
334,11/1/2015,ambulatory,,,,not hispanic or latino
334,3/1/2014,ambulatory,,male,,not hispanic or latino
333,,ambulatory,72,female,,not hispanic or latino
333,4/1/2021,ambulatory,,male,,
333,3/1/2021,,,male,,
333,7/1/2018,ambulatory,,,,not hispanic or latino
332,9/1/2018,ambulatory,,,white,not hispanic or latino
332,1/1/2018,ambulatory,,,,not hispanic or latino
332,5/1/2016,ambulatory,,,white,not hispanic or latino
331,,ambulatory,73,female,,
331,,ambulatory,22,male,white,not hispanic or latino
331,,ambulatory,13,female,white,
331,8/1/2019,,,,white,not hispanic or latino
331,7/1/2018,,,,white,not hispanic or latino
331,7/1/2018,ambulatory,,,white,
331,5/1/2018,,,,white,not hispanic or latino
331,4/1/2016,ambulatory,,,white,
331,9/1/2014,ambulatory,,,,not hispanic or latino
331,3/1/2014,ambulatory,,female,white,not hispanic or latino
330,,ambulatory,72,female,white,not hispanic or latino
330,11/1/2020,ambulatory,,,white,not hispanic or latino
330,11/1/2018,,,,,not hispanic or latino
330,3/1/2018,ambulatory,,,white,not hispanic or latino
330,11/1/2015,ambulatory,,,white,
330,3/1/2014,,,male,white,
330,5/1/2013,ambulatory,,,,
329,,,9,male,,
329,,ambulatory,73,female,white,
329,,ambulatory,17,male,white,not hispanic or latino
329,3/1/2023,ambulatory,,,white,not hispanic or latino
329,4/1/2017,ambulatory,,,,not hispanic or latino
329,10/1/2016,ambulatory,,,white,
329,1/1/2015,ambulatory,,,white,
329,12/1/2014,ambulatory,,,white,not hispanic or latino
329,4/1/2014,ambulatory,,,,not hispanic or latino
328,,ambulatory,6,female,,
328,,ambulatory,5,male,white,
328,,ambulatory,36,male,white,
328,,ambulatory,27,female,white,
328,3/1/2021,ambulatory,,female,,not hispanic or latino
328,8/1/2018,,,,white,
328,11/1/2017,,,,,not hispanic or latino
328,9/1/2016,,,,white,not hispanic or latino
328,6/1/2016,ambulatory,,,white,
328,3/1/2015,ambulatory,,,white,not hispanic or latino
328,9/1/2014,ambulatory,,,white,
328,6/1/2013,,,,white,
328,5/1/2013,,,,,not hispanic or latino
327,,,26,male,,
327,,ambulatory,6,male,,
327,5/1/2021,,,male,,
327,1/1/2015,,,,white,not hispanic or latino
327,7/1/2013,,,,,not hispanic or latino
326,,ambulatory,73,female,,not hispanic or latino
326,,ambulatory,12,female,,
326,8/1/2019,ambulatory,,,white,
326,2/1/2016,ambulatory,,,white,not hispanic or latino
326,4/1/2015,ambulatory,,,white,
326,10/1/2014,,,,white,not hispanic or latino
325,,,66,female,white,
325,,,13,female,white,not hispanic or latino
325,,,12,male,,not hispanic or latino
325,,ambulatory,82,female,,
325,,ambulatory,82,female,,not hispanic or latino
325,,ambulatory,4,female,white,
325,12/1/2013,ambulatory,,,white,
324,,ambulatory,73,female,white,not hispanic or latino
324,5/1/2021,ambulatory,,female,,not hispanic or latino
324,12/1/2019,ambulatory,,,white,not hispanic or latino
324,2/1/2019,,,,,not hispanic or latino
324,1/1/2018,ambulatory,,,white,
324,9/1/2017,ambulatory,,,white,not hispanic or latino
324,5/1/2017,ambulatory,,,white,not hispanic or latino
324,4/1/2017,ambulatory,,,white,
324,8/1/2016,ambulatory,,,white,not hispanic or latino
323,,,68,female,,
323,,ambulatory,29,male,white,
323,5/1/2021,,,female,white,
323,12/1/2018,ambulatory,,,white,
323,11/1/2016,ambulatory,,,,not hispanic or latino
323,6/1/2014,,,,white,not hispanic or latino
322,,ambulatory,82,female,white,
322,,ambulatory,82,female,white,not hispanic or latino
322,2/1/2023,ambulatory,,,white,not hispanic or latino
322,4/1/2017,,,,white,not hispanic or latino
322,5/1/2013,,,,white,
321,,,4,female,,not hispanic or latino
321,,ambulatory,90,,,
321,,ambulatory,90,,white,
321,,ambulatory,21,female,,not hispanic or latino
321,6/1/2015,ambulatory,,,white,not hispanic or latino
321,11/1/2014,,,,white,not hispanic or latino
320,,,5,female,,
320,,ambulatory,10,male,,
320,3/1/2021,,,male,,not hispanic or latino
320,5/1/2019,ambulatory,,,white,not hispanic or latino
320,11/1/2018,ambulatory,,,,
320,1/1/2018,,,,white,not hispanic or latino
320,12/1/2017,ambulatory,,,,not hispanic or latino
320,6/1/2017,ambulatory,,,white,not hispanic or latino
320,11/1/2016,,,,white,not hispanic or latino
320,2/1/2015,ambulatory,,,white,
320,9/1/2013,,,,,not hispanic or latino
320,7/1/2013,ambulatory,,,,
319,,,7,male,,
319,,,7,female,,
319,,,6,female,,not hispanic or latino
319,,ambulatory,16,male,white,not hispanic or latino
319,3/1/2021,ambulatory,,female,white,
319,8/1/2018,ambulatory,,,,not hispanic or latino
319,5/1/2018,ambulatory,,,white,
319,10/1/2017,ambulatory,,,white,not hispanic or latino
319,11/1/2015,,,,white,not hispanic or latino
319,11/1/2013,,,,,not hispanic or latino
319,10/1/2013,ambulatory,,,,
319,6/1/2013,ambulatory,,,,not hispanic or latino
318,,,68,female,,not hispanic or latino
318,,,13,male,white,
318,,ambulatory,35,male,,not hispanic or latino
318,,ambulatory,13,female,white,not hispanic or latino
318,2/1/2020,ambulatory,,,white,not hispanic or latino
318,12/1/2018,ambulatory,,,,not hispanic or latino
318,11/1/2018,,,,white,
318,5/1/2018,ambulatory,,,,not hispanic or latino
318,11/1/2017,ambulatory,,,,
317,,,68,female,white,
317,,,30,male,,not hispanic or latino
317,,ambulatory,67,female,,
317,,ambulatory,21,female,white,
317,12/1/2018,,,,white,not hispanic or latino
317,1/1/2016,ambulatory,,,white,not hispanic or latino
317,4/1/2014,ambulatory,,,white,
317,11/1/2013,ambulatory,,,,
317,9/1/2013,ambulatory,,,,
316,,,66,female,white,not hispanic or latino
316,4/1/2021,ambulatory,,male,,not hispanic or latino
316,3/1/2021,,,female,white,not hispanic or latino
316,10/1/2018,ambulatory,,,white,not hispanic or latino
316,8/1/2013,,,,,not hispanic or latino
315,,,71,female,,
315,,,6,female,white,
315,,ambulatory,8,male,,
315,6/1/2021,,,female,,
315,10/1/2020,ambulatory,,,white,not hispanic or latino
315,2/1/2019,,,,white,
315,4/1/2018,ambulatory,,,,not hispanic or latino
315,4/1/2018,ambulatory,,,white,
315,12/1/2016,ambulatory,,,white,not hispanic or latino
315,3/1/2014,,,male,white,not hispanic or latino
314,,,11,male,,
314,,ambulatory,32,male,white,not hispanic or latino
314,4/1/2021,,,male,white,
314,4/1/2015,,,,white,not hispanic or latino
314,9/1/2014,,,,white,not hispanic or latino
314,12/1/2013,,,,white,not hispanic or latino
313,,,5,male,white,not hispanic or latino
313,,ambulatory,9,male,,
313,,ambulatory,67,female,,not hispanic or latino
313,,ambulatory,15,male,white,not hispanic or latino
313,2/1/2018,ambulatory,,,,not hispanic or latino
313,2/1/2017,ambulatory,,,,
313,7/1/2014,,,,white,not hispanic or latino
313,3/1/2014,ambulatory,,male,white,
312,,,71,female,white,
312,,,69,female,,
312,,,68,female,white,not hispanic or latino
312,,,12,female,,not hispanic or latino
312,,ambulatory,27,female,,not hispanic or latino
312,5/1/2015,ambulatory,,,white,not hispanic or latino
312,10/1/2014,ambulatory,,,white,not hispanic or latino
311,,,9,female,,
311,,,74,female,,
311,,,71,female,,not hispanic or latino
311,,,27,female,white,not hispanic or latino
311,,,21,female,white,not hispanic or latino
311,2/1/2018,,,,white,not hispanic or latino
311,11/1/2016,ambulatory,,,white,
311,9/1/2016,ambulatory,,,white,not hispanic or latino
311,5/1/2014,ambulatory,,,white,not hispanic or latino
311,10/1/2013,,,,,not hispanic or latino
310,,,88,,,not hispanic or latino
310,,,88,,white,not hispanic or latino
310,,,69,female,white,
310,,ambulatory,6,female,,not hispanic or latino
310,,ambulatory,4,female,,not hispanic or latino
310,,ambulatory,14,male,white,not hispanic or latino
310,1/1/2014,,,,white,not hispanic or latino
309,,,8,female,,
309,,,69,female,,not hispanic or latino
309,,,29,male,,not hispanic or latino
309,,ambulatory,12,male,,not hispanic or latino
309,5/1/2021,,,male,,not hispanic or latino
309,2/1/2019,ambulatory,,,,
309,4/1/2018,,,,white,not hispanic or latino
309,1/1/2017,ambulatory,,,white,not hispanic or latino
309,7/1/2014,ambulatory,,,white,
309,4/1/2014,,,,white,not hispanic or latino
308,,,74,female,,not hispanic or latino
308,,,71,female,white,not hispanic or latino
308,,,12,female,white,
308,,ambulatory,6,female,white,
308,2/1/2017,,,,,not hispanic or latino
308,2/1/2017,,,,white,
307,,,74,female,white,
307,,,69,female,white,not hispanic or latino
307,,,6,male,,not hispanic or latino
307,,ambulatory,7,female,,
307,8/1/2019,ambulatory,,,white,not hispanic or latino
307,8/1/2018,ambulatory,,,white,
307,2/1/2018,ambulatory,,,white,
307,10/1/2016,ambulatory,,,white,not hispanic or latino
307,6/1/2016,ambulatory,,,white,not hispanic or latino
306,,ambulatory,5,female,,
306,,ambulatory,13,male,white,
306,5/1/2021,ambulatory,,female,white,
306,11/1/2013,,,,white,
306,8/1/2013,ambulatory,,,,
305,,,87,,,not hispanic or latino
305,,,87,,white,not hispanic or latino
305,,,10,female,,
305,,ambulatory,85,,,not hispanic or latino
305,,ambulatory,85,,white,not hispanic or latino
305,7/1/2018,ambulatory,,,white,not hispanic or latino
305,12/1/2017,,,,white,
305,5/1/2013,ambulatory,,,,not hispanic or latino
304,,,8,male,,not hispanic or latino
304,,,74,female,white,not hispanic or latino
304,5/1/2021,,,female,white,not hispanic or latino
303,,,4,female,white,not hispanic or latino
303,,,35,male,white,
303,,,10,male,,not hispanic or latino
303,7/1/2021,,,female,,
303,8/1/2018,,,,white,not hispanic or latino
302,,ambulatory,5,male,white,not hispanic or latino
302,6/1/2021,ambulatory,,female,,
302,2/1/2015,ambulatory,,,white,not hispanic or latino
302,6/1/2013,,,,white,not hispanic or latino
301,,,9,male,,not hispanic or latino
301,,,6,male,white,
301,,ambulatory,74,female,,
301,,ambulatory,36,male,white,not hispanic or latino
301,,ambulatory,12,female,,not hispanic or latino
301,,ambulatory,11,male,,
301,4/1/2017,ambulatory,,,white,not hispanic or latino
301,1/1/2015,ambulatory,,,white,not hispanic or latino
301,6/1/2014,ambulatory,,,white,not hispanic or latino
301,3/1/2014,ambulatory,,male,white,not hispanic or latino
301,9/1/2013,,,,white,
301,7/1/2013,ambulatory,,,,not hispanic or latino
300,,ambulatory,66,female,white,
300,1/1/2018,ambulatory,,,white,not hispanic or latino
300,11/1/2014,ambulatory,,,white,not hispanic or latino
300,8/1/2013,,,,white,
300,7/1/2013,,,,white,
299,,,82,male,,not hispanic or latino
299,,,82,male,white,not hispanic or latino
299,,,6,female,white,not hispanic or latino
299,3/1/2021,ambulatory,,female,white,not hispanic or latino
299,11/1/2017,ambulatory,,,,not hispanic or latino
299,4/1/2016,ambulatory,,,white,not hispanic or latino
298,,ambulatory,74,female,,not hispanic or latino
298,,ambulatory,74,female,white,
298,,ambulatory,26,male,,
298,4/1/2021,,,male,white,not hispanic or latino
298,11/1/2018,ambulatory,,,,not hispanic or latino
298,6/1/2013,ambulatory,,,white,
297,,,5,female,white,
297,,,12,male,white,
297,,ambulatory,12,female,white,
297,11/1/2015,ambulatory,,,white,not hispanic or latino
297,11/1/2013,ambulatory,,,,not hispanic or latino
297,9/1/2013,ambulatory,,,,not hispanic or latino
296,,,7,female,white,
296,,emergency,,,,hispanic or latino
296,,ambulatory,88,,,not hispanic or latino
296,,ambulatory,88,,white,not hispanic or latino
296,,ambulatory,7,male,,
296,3/1/2021,ambulatory,,male,,
296,10/1/2013,ambulatory,,,,not hispanic or latino
295,,,86,,,not hispanic or latino
295,,,86,,white,not hispanic or latino
295,,,84,female,,
295,,,84,female,,not hispanic or latino
295,,,84,female,white,
295,,,84,female,white,not hispanic or latino
295,,,26,male,,not hispanic or latino
295,,ambulatory,87,,,not hispanic or latino
295,,ambulatory,87,,white,not hispanic or latino
295,,ambulatory,74,female,white,not hispanic or latino
295,,ambulatory,71,female,,
295,5/1/2018,ambulatory,,,white,not hispanic or latino
295,8/1/2015,,,female,,
294,,,7,male,,not hispanic or latino
294,,,5,female,,not hispanic or latino
294,,ambulatory,8,female,,
294,,ambulatory,6,male,,not hispanic or latino
294,5/1/2021,ambulatory,,male,,
294,2/1/2019,,,,white,not hispanic or latino
294,11/1/2018,,,,white,not hispanic or latino
294,4/1/2015,ambulatory,,,white,not hispanic or latino
293,,,7,female,,not hispanic or latino
293,,,11,female,,
293,,ambulatory,6,female,white,not hispanic or latino
293,5/1/2021,,,male,white,
293,12/1/2013,ambulatory,,,white,not hispanic or latino
292,,,9,female,white,
292,,,30,male,white,not hispanic or latino
292,,ambulatory,9,female,,
292,,ambulatory,71,female,white,
292,,ambulatory,4,female,white,not hispanic or latino
292,12/1/2018,ambulatory,,,white,not hispanic or latino
292,11/1/2017,,,,white,
292,9/1/2014,ambulatory,,,white,not hispanic or latino
291,,,8,female,white,
291,,ambulatory,71,female,,not hispanic or latino
291,,ambulatory,66,female,white,not hispanic or latino
291,10/1/2021,,,female,,
290,,,8,male,white,
290,,,67,female,white,
290,,,26,male,white,
290,,,11,male,,not hispanic or latino
290,,ambulatory,10,male,,not hispanic or latino
290,5/1/2013,ambulatory,,,white,
289,,ambulatory,27,female,white,not hispanic or latino
289,7/1/2014,ambulatory,,,white,not hispanic or latino
289,1/1/2014,ambulatory,,,white,not hispanic or latino
289,5/1/2013,,,,white,not hispanic or latino
289,4/1/2013,,,,,
288,,ambulatory,71,female,white,not hispanic or latino
288,,ambulatory,21,female,white,not hispanic or latino
288,5/1/2021,ambulatory,,female,white,not hispanic or latino
288,2/1/2019,ambulatory,,,,not hispanic or latino
288,4/1/2018,ambulatory,,,white,not hispanic or latino
288,12/1/2017,ambulatory,,,white,
287,,,10,female,,not hispanic or latino
287,,ambulatory,6,male,white,
287,6/1/2021,,,female,,not hispanic or latino
287,4/1/2021,ambulatory,,male,white,
287,3/1/2021,,,male,white,
286,,,9,female,,not hispanic or latino
286,,,67,female,white,not hispanic or latino
286,,,12,female,white,not hispanic or latino
286,,ambulatory,8,male,,not hispanic or latino
286,,ambulatory,10,female,,
286,7/1/2021,ambulatory,,female,,
286,11/1/2016,ambulatory,,,white,not hispanic or latino
285,,ambulatory,9,male,,not hispanic or latino
285,,ambulatory,7,female,white,
285,,ambulatory,35,male,white,
285,,ambulatory,12,male,white,
285,2/1/2017,ambulatory,,,white,
285,8/1/2015,ambulatory,,female,,
285,11/1/2013,ambulatory,,,white,
285,8/1/2013,ambulatory,,,,not hispanic or latino
284,,ambulatory,5,female,white,
284,3/1/2021,ambulatory,,male,,not hispanic or latino
284,8/1/2018,ambulatory,,,white,not hispanic or latino
284,2/1/2017,ambulatory,,,,not hispanic or latino
283,,,7,male,white,
283,,,35,male,white,not hispanic or latino
283,11/1/2021,,,female,,
283,7/1/2021,,,female,,not hispanic or latino
283,11/1/2018,ambulatory,,,white,
283,7/1/2015,,,female,,
283,11/1/2013,,,,white,not hispanic or latino
282,,,10,female,white,
282,6/1/2021,,,female,white,
282,4/1/2014,ambulatory,,,white,not hispanic or latino
282,10/1/2013,,,,white,
281,,,87,male,,
281,,,87,male,white,
281,,ambulatory,7,female,,not hispanic or latino
281,,ambulatory,5,female,,not hispanic or latino
281,9/1/2021,,,female,,
281,8/1/2021,,,female,,
281,2/1/2018,ambulatory,,,white,not hispanic or latino
281,7/1/2013,,,,white,not hispanic or latino
280,1/1/2021,,,female,,
280,2/1/2017,,,,white,not hispanic or latino
279,,,8,female,,not hispanic or latino
279,8/1/2013,,,,white,not hispanic or latino
279,6/1/2013,ambulatory,,,white,not hispanic or latino
278,,,13,male,white,not hispanic or latino
278,,,10,male,white,
278,,ambulatory,8,female,white,
278,5/1/2021,,,male,white,not hispanic or latino
278,12/1/2017,,,,white,not hispanic or latino
278,8/1/2015,,,female,,not hispanic or latino
278,9/1/2013,,,,white,not hispanic or latino
277,,emergency,,,white,hispanic or latino
277,,ambulatory,11,male,,not hispanic or latino
277,1/1/2021,,,male,,
277,2/1/2019,ambulatory,,,white,
277,9/1/2013,ambulatory,,,white,
276,,,9,female,white,not hispanic or latino
276,,,11,female,,not hispanic or latino
276,,ambulatory,68,female,,
276,6/1/2021,,,male,,
276,6/1/2021,ambulatory,,female,,not hispanic or latino
276,5/1/2021,ambulatory,,male,,not hispanic or latino
275,,,5,female,white,not hispanic or latino
275,,,29,male,white,not hispanic or latino
275,,ambulatory,9,female,white,
275,,ambulatory,12,female,white,not hispanic or latino
275,3/1/2021,,,male,white,not hispanic or latino
275,2/1/2021,,,male,,
274,,,91,,,
274,,,91,,white,
274,,,7,female,white,not hispanic or latino
274,,ambulatory,82,male,,
274,,ambulatory,82,male,white,
274,,ambulatory,29,male,,not hispanic or latino
274,10/1/2021,,,female,,not hispanic or latino
274,8/1/2021,ambulatory,,female,,
273,,,26,male,white,not hispanic or latino
273,,ambulatory,11,female,,
273,7/1/2021,,,female,white,
273,11/1/2017,,,,white,not hispanic or latino
272,,ambulatory,69,female,,
272,10/1/2021,,,female,white,
271,,,75,female,,
271,,ambulatory,8,male,white,
271,,ambulatory,7,male,,not hispanic or latino
271,,ambulatory,68,female,,not hispanic or latino
271,4/1/2021,ambulatory,,male,white,not hispanic or latino
271,7/1/2013,ambulatory,,,white,
270,,ambulatory,69,female,white,
270,,ambulatory,68,female,white,
270,6/1/2021,ambulatory,,female,white,
270,7/1/2015,,,female,,not hispanic or latino
269,,,6,male,white,not hispanic or latino
269,,,10,female,white,not hispanic or latino
269,,ambulatory,86,,,not hispanic or latino
269,,ambulatory,86,,white,not hispanic or latino
269,,ambulatory,69,female,,not hispanic or latino
269,,ambulatory,30,male,,not hispanic or latino
269,,ambulatory,10,female,,not hispanic or latino
269,8/1/2021,,,female,,not hispanic or latino
269,8/1/2015,ambulatory,,female,,not hispanic or latino
268,,,9,male,white,
268,,,75,female,white,
268,,ambulatory,9,female,,not hispanic or latino
268,8/1/2013,ambulatory,,,white,
267,,,70,female,,
267,,,11,female,white,
267,,ambulatory,69,female,white,not hispanic or latino
267,,ambulatory,26,male,,not hispanic or latino
267,,ambulatory,13,male,white,not hispanic or latino
267,11/1/2021,ambulatory,,female,,
267,7/1/2021,ambulatory,,female,,not hispanic or latino
267,6/1/2021,,,male,,not hispanic or latino
267,5/1/2013,ambulatory,,,white,not hispanic or latino
266,,,75,female,,not hispanic or latino
266,9/1/2021,ambulatory,,female,,
266,11/1/2017,ambulatory,,,white,
266,8/1/2015,,,female,white,
265,,ambulatory,68,female,white,not hispanic or latino
265,,ambulatory,35,male,white,not hispanic or latino
265,,ambulatory,10,female,white,
265,11/1/2021,,,female,,not hispanic or latino
265,11/1/2013,ambulatory,,,white,not hispanic or latino
265,10/1/2013,ambulatory,,,white,
264,,,70,female,,not hispanic or latino
264,,ambulatory,87,male,,
264,,ambulatory,87,male,white,
264,,ambulatory,8,female,,not hispanic or latino
264,,ambulatory,26,male,white,
264,8/1/2021,,,male,,
263,,,8,female,white,not hispanic or latino
263,,,75,female,white,not hispanic or latino
263,,ambulatory,7,male,white,
263,,ambulatory,7,female,white,not hispanic or latino
263,,ambulatory,5,female,white,not hispanic or latino
263,,ambulatory,10,male,white,
263,10/1/2021,ambulatory,,female,,
263,2/1/2021,,,male,,not hispanic or latino
263,4/1/2013,,,,,not hispanic or latino
263,4/1/2013,ambulatory,,,,
262,,,70,female,white,
262,,,12,male,white,not hispanic or latino
262,,ambulatory,91,,,
262,,ambulatory,91,,white,
262,,ambulatory,84,female,,
262,,ambulatory,84,female,,not hispanic or latino
262,,ambulatory,84,female,white,
262,,ambulatory,84,female,white,not hispanic or latino
262,11/1/2021,,,female,white,
262,8/1/2021,ambulatory,,female,,not hispanic or latino
262,5/1/2021,ambulatory,,male,white,
262,2/1/2021,,,female,,
262,1/1/2021,,,male,,not hispanic or latino
262,11/1/2018,ambulatory,,,white,not hispanic or latino
262,12/1/2017,ambulatory,,,white,not hispanic or latino
262,7/1/2015,ambulatory,,female,,
262,4/1/2013,,,,white,
261,7/1/2016,,,female,,
260,,,8,male,white,not hispanic or latino
260,,,7,male,white,not hispanic or latino
260,,ambulatory,9,female,white,not hispanic or latino
260,10/1/2022,,,female,,
259,,,70,female,white,not hispanic or latino
259,9/1/2021,,,female,,not hispanic or latino
259,10/1/2013,,,,white,not hispanic or latino
258,,ambulatory,6,male,white,not hispanic or latino
258,1/1/2023,,,female,,
258,9/1/2022,,,female,,
258,7/1/2021,ambulatory,,female,white,
258,6/1/2021,,,female,white,not hispanic or latino
258,6/1/2021,ambulatory,,male,,
258,9/1/2020,,,female,,
258,2/1/2019,ambulatory,,,white,not hispanic or latino
258,2/1/2017,ambulatory,,,white,not hispanic or latino
258,8/1/2015,ambulatory,,female,white,
258,9/1/2013,ambulatory,,,white,not hispanic or latino
257,,ambulatory,11,female,,not hispanic or latino
257,7/1/2021,,,male,,
257,1/1/2021,,,female,white,
257,1/1/2021,ambulatory,,female,,
256,,,11,female,white,not hispanic or latino
256,1/1/2022,,,female,,
255,,ambulatory,9,male,white,
255,10/1/2021,,,female,white,not hispanic or latino
255,9/1/2021,,,female,white,
255,3/1/2021,ambulatory,,male,white,
255,7/1/2013,ambulatory,,,white,not hispanic or latino
254,7/1/2021,,,female,white,not hispanic or latino
253,,,90,,,not hispanic or latino
253,,,90,,white,not hispanic or latino
253,,,83,male,,
253,,,83,male,white,
252,,ambulatory,12,male,white,not hispanic or latino
252,,ambulatory,10,female,white,not hispanic or latino
252,11/1/2021,ambulatory,,female,,not hispanic or latino
252,8/1/2021,,,female,white,
252,8/1/2014,,,male,,
251,4/1/2022,,,male,,
251,8/1/2021,,,male,,not hispanic or latino
251,8/1/2015,,,female,white,not hispanic or latino
251,7/1/2015,,,female,white,
250,,,86,male,,
250,,,86,male,white,
250,,ambulatory,8,female,white,not hispanic or latino
250,4/1/2022,,,female,,
250,12/1/2021,,,female,,
250,8/1/2021,ambulatory,,male,,
250,6/1/2021,ambulatory,,male,,not hispanic or latino
250,7/1/2015,ambulatory,,female,,not hispanic or latino
250,8/1/2013,ambulatory,,,white,not hispanic or latino
249,,ambulatory,11,female,white,
249,7/1/2021,,,male,,not hispanic or latino
249,6/1/2021,,,male,white,
249,1/1/2021,ambulatory,,male,,
248,,,11,male,white,
248,,,10,male,white,not hispanic or latino
248,,ambulatory,67,female,white,
248,,ambulatory,26,male,white,not hispanic or latino
248,10/1/2021,ambulatory,,female,white,
248,9/1/2021,ambulatory,,female,,not hispanic or latino
248,6/1/2021,ambulatory,,female,white,not hispanic or latino
248,2/1/2021,ambulatory,,female,,
248,6/1/2020,,,male,,
248,11/1/2017,ambulatory,,,white,not hispanic or latino
248,7/1/2016,ambulatory,,female,,
248,1/1/2014,,,female,,
247,10/1/2022,,,female,,not hispanic or latino
247,10/1/2022,ambulatory,,female,,
247,10/1/2021,,,male,,
247,10/1/2021,ambulatory,,female,,not hispanic or latino
247,5/1/2021,ambulatory,,male,white,not hispanic or latino
247,1/1/2021,,,female,,not hispanic or latino
247,7/1/2016,,,female,,not hispanic or latino
246,11/1/2021,ambulatory,,female,white,
246,8/1/2021,ambulatory,,female,white,
245,,,9,male,white,not hispanic or latino
245,,,84,male,,
245,,,84,male,white,
245,11/1/2021,,,female,white,not hispanic or latino
245,12/1/2015,,,female,,
244,,ambulatory,8,male,white,not hispanic or latino
244,,ambulatory,75,female,,
244,,ambulatory,67,female,white,not hispanic or latino
244,,ambulatory,30,male,white,not hispanic or latino
244,11/1/2022,,,female,,
244,3/1/2021,ambulatory,,male,white,not hispanic or latino
244,1/1/2021,,,male,white,
244,8/1/2015,ambulatory,,female,white,not hispanic or latino
244,6/1/2015,,,female,,
244,10/1/2013,ambulatory,,,white,not hispanic or latino
244,4/1/2013,ambulatory,,,,not hispanic or latino
243,1/1/2023,,,female,,not hispanic or latino
243,2/1/2021,,,female,,not hispanic or latino
243,8/1/2020,,,male,,
243,3/1/2020,,,male,,
243,9/1/2015,,,female,,
242,,ambulatory,75,female,white,
242,9/1/2022,ambulatory,,female,,
242,5/1/2022,,,female,,
242,11/1/2021,,,male,,
242,7/1/2021,ambulatory,,male,,
242,6/1/2021,,,male,white,not hispanic or latino
241,9/1/2021,ambulatory,,female,white,
241,8/1/2021,,,female,white,not hispanic or latino
241,2/1/2021,ambulatory,,male,,
241,7/1/2020,,,male,,
241,3/1/2017,,,female,,
241,10/1/2015,,,female,,
240,,,27,male,,
240,,ambulatory,75,female,,not hispanic or latino
240,,ambulatory,70,female,,
